id,x,y,z,label,category
1,-0.524731,0.477949,-0.714531,0,Genes
2,-2.158293,0.005262,2.265933,0,Genes
3,0.671600,-1.975939,-1.996113,0,Genes
4,0.245053,0.513217,-0.454496,0,Genes
5,0.619917,0.449139,1.181003,0,Genes
6,-1.382103,-0.835447,1.135018,0,Genes
7,-1.484328,0.606551,-0.008284,0,Genes
8,-0.755485,0.988165,0.245250,0,Genes
9,-1.597482,0.874004,-0.410598,0,Genes
10,-0.212980,0.617407,-1.350053,0,Genes
11,-2.160000,-1.915854,3.237157,0,Genes
12,1.204868,1.113293,-1.941953,0,Genes
13,-0.153910,0.822475,-0.312324,0,Genes
14,-2.108148,-0.353684,-2.043648,0,Genes
15,0.825667,1.050916,0.477249,0,Genes
16,0.440125,0.465559,-0.052670,0,Genes
17,-0.076459,1.950336,0.273449,0,Genes
18,0.202907,-0.949015,-1.186587,0,Genes
19,0.222615,-1.000498,-0.642895,0,Genes
20,-0.388389,0.444426,1.944403,0,Genes
21,-0.423502,-1.084254,1.412351,0,Genes
22,1.204574,0.636198,1.346026,0,Genes
23,-0.062570,0.517413,1.298612,0,Genes
24,-0.715543,1.409709,-0.062572,0,Genes
25,-2.679965,0.490846,-0.046624,0,Genes
26,-1.190353,-2.493933,0.979583,0,Genes
27,0.403584,0.435964,0.666902,0,Genes
28,0.306112,1.432291,-1.375579,0,Genes
29,0.564957,-1.316203,-0.506274,0,Genes
30,1.040544,-0.762428,-0.582200,0,Genes
31,-0.046340,-0.216687,0.780225,0,Genes
32,-1.982997,1.191300,0.921152,0,Genes
33,-0.253475,0.934639,1.490312,0,Genes
34,0.781397,0.328136,-1.856377,0,Genes
35,-1.014040,1.028141,-0.694436,0,Genes
36,0.253780,-1.207691,-0.551114,0,Genes
37,-0.560032,-0.230657,-0.037849,0,Genes
38,1.392709,-0.465506,1.579733,0,Genes
39,-1.010357,0.591591,0.697531,0,Genes
40,0.436380,-0.471159,1.701641,0,Genes
41,0.768527,0.772488,1.155769,0,Genes
42,1.138931,0.591829,1.935082,0,Genes
43,-2.074928,-0.684904,0.688634,0,Genes
44,-1.090614,-0.268268,3.253710,0,Genes
45,0.572361,0.746309,0.409864,0,Genes
46,-0.195563,1.822386,1.311540,0,Genes
47,-1.284759,0.455944,1.540872,0,Genes
48,0.035366,0.409128,0.328405,0,Genes
49,-0.476340,-0.353828,1.345099,0,Genes
50,1.102791,2.701192,-0.832207,0,Genes
51,0.459713,1.060323,1.853566,0,Genes
